scenario,policy,seed,candidate_groups,useful_groups,retained_fraction,completed_steps,candidate_groups_per_completed_step,unique_tasks,duplicate_fallbacks,arithmetic_candidate_share,algebra_candidate_share,geometry_candidate_share,probability_candidate_share
normal,random,0,267,197,0.7378277153558053,17,15.705882352941176,267,0,0.2546816479400749,0.24719101123595505,0.250936329588015,0.24719101123595505
normal,random,1,260,200,0.7692307692307693,20,13.0,260,0,0.26153846153846155,0.25384615384615383,0.2230769230769231,0.26153846153846155
normal,random,2,266,199,0.7481203007518797,19,14.0,266,0,0.2556390977443609,0.2593984962406015,0.23684210526315788,0.24812030075187969
normal,random,3,255,199,0.7803921568627451,19,13.421052631578947,255,0,0.2627450980392157,0.24705882352941178,0.25882352941176473,0.23137254901960785
normal,random,4,244,200,0.819672131147541,20,12.2,244,0,0.23770491803278687,0.21721311475409835,0.26229508196721313,0.2827868852459016
normal,random,5,268,199,0.7425373134328358,19,14.105263157894736,268,0,0.22761194029850745,0.22388059701492538,0.2835820895522388,0.26492537313432835
normal,random,6,252,200,0.7936507936507936,20,12.6,252,0,0.28174603174603174,0.2698412698412698,0.23809523809523808,0.21031746031746032
normal,random,7,261,200,0.7662835249042146,20,13.05,261,0,0.25287356321839083,0.26436781609195403,0.21839080459770116,0.26436781609195403
normal,random,8,264,199,0.7537878787878788,19,13.894736842105264,264,0,0.24242424242424243,0.2537878787878788,0.24242424242424243,0.26136363636363635
normal,random,9,261,200,0.7662835249042146,20,13.05,261,0,0.2222222222222222,0.26436781609195403,0.2720306513409962,0.2413793103448276
normal,random,10,263,200,0.7604562737642585,20,13.15,263,0,0.2661596958174905,0.25475285171102663,0.23574144486692014,0.24334600760456274
normal,random,11,266,199,0.7481203007518797,19,14.0,266,0,0.24060150375939848,0.2669172932330827,0.2669172932330827,0.22556390977443608
normal,random,12,255,200,0.7843137254901961,20,12.75,255,0,0.24705882352941178,0.23529411764705882,0.24705882352941178,0.27058823529411763
normal,random,13,270,199,0.737037037037037,19,14.210526315789474,270,0,0.25555555555555554,0.2518518518518518,0.26296296296296295,0.22962962962962963
normal,random,14,259,200,0.7722007722007722,20,12.95,259,0,0.2625482625482625,0.25868725868725867,0.25096525096525096,0.2277992277992278
normal,random,15,257,198,0.7704280155642024,18,14.277777777777779,257,0,0.2607003891050584,0.22178988326848248,0.22957198443579765,0.28793774319066145
normal,random,16,264,199,0.7537878787878788,19,13.894736842105264,264,0,0.24621212121212122,0.25757575757575757,0.24621212121212122,0.25
normal,random,17,266,200,0.7518796992481203,20,13.3,266,0,0.2631578947368421,0.24812030075187969,0.24812030075187969,0.24060150375939848
normal,random,18,255,198,0.7764705882352941,18,14.166666666666666,255,0,0.26666666666666666,0.24705882352941178,0.23137254901960785,0.2549019607843137
normal,random,19,256,200,0.78125,20,12.8,256,0,0.2421875,0.26171875,0.2265625,0.26953125
normal,random,20,260,200,0.7692307692307693,20,13.0,260,0,0.23461538461538461,0.25,0.27307692307692305,0.2423076923076923
normal,random,21,259,199,0.7683397683397684,19,13.631578947368421,259,0,0.2471042471042471,0.25096525096525096,0.23938223938223938,0.2625482625482625
normal,random,22,281,200,0.7117437722419929,20,14.05,281,0,0.24199288256227758,0.2669039145907473,0.23843416370106763,0.2526690391459075
normal,random,23,263,200,0.7604562737642585,20,13.15,263,0,0.24714828897338403,0.25475285171102663,0.24714828897338403,0.2509505703422053
normal,random,24,256,200,0.78125,20,12.8,256,0,0.265625,0.2421875,0.23828125,0.25390625
normal,random,25,269,198,0.7360594795539034,18,14.944444444444445,269,0,0.2379182156133829,0.27137546468401486,0.21561338289962825,0.275092936802974
normal,random,26,264,199,0.7537878787878788,19,13.894736842105264,264,0,0.22727272727272727,0.2803030303030303,0.25757575757575757,0.23484848484848486
normal,random,27,254,200,0.7874015748031497,20,12.7,254,0,0.25196850393700787,0.25196850393700787,0.25196850393700787,0.2440944881889764
normal,random,28,264,199,0.7537878787878788,19,13.894736842105264,264,0,0.24242424242424243,0.24621212121212122,0.2537878787878788,0.25757575757575757
normal,random,29,251,200,0.796812749003984,20,12.55,251,0,0.23904382470119523,0.24701195219123506,0.26294820717131473,0.250996015936255
normal,random,30,278,199,0.7158273381294964,19,14.631578947368421,278,0,0.26258992805755393,0.24820143884892087,0.23381294964028776,0.25539568345323743
normal,random,31,266,200,0.7518796992481203,20,13.3,266,0,0.23684210526315788,0.24060150375939848,0.2631578947368421,0.2593984962406015
normal,random,32,270,199,0.737037037037037,19,14.210526315789474,270,0,0.24444444444444444,0.2518518518518518,0.23703703703703705,0.26666666666666666
normal,random,33,275,198,0.72,18,15.277777777777779,275,0,0.26181818181818184,0.2545454545454545,0.2509090909090909,0.23272727272727273
normal,random,34,251,199,0.7928286852589641,19,13.210526315789474,251,0,0.23904382470119523,0.22709163346613545,0.250996015936255,0.28286852589641437
normal,random,35,262,200,0.7633587786259542,20,13.1,262,0,0.24045801526717558,0.25190839694656486,0.24427480916030533,0.2633587786259542
normal,random,36,247,200,0.8097165991902834,20,12.35,247,0,0.2631578947368421,0.2145748987854251,0.2550607287449393,0.26720647773279355
normal,random,37,258,199,0.7713178294573644,19,13.578947368421053,258,0,0.24031007751937986,0.2558139534883721,0.2713178294573643,0.23255813953488372
normal,random,38,267,200,0.7490636704119851,20,13.35,267,0,0.24719101123595505,0.250936329588015,0.25842696629213485,0.24344569288389514
normal,random,39,252,200,0.7936507936507936,20,12.6,252,0,0.24603174603174602,0.24206349206349206,0.25793650793650796,0.25396825396825395
normal,adaptive,0,250,200,0.8,20,12.5,175,0,0.196,0.232,0.336,0.236
normal,adaptive,1,246,199,0.8089430894308943,19,12.947368421052632,193,0,0.2073170731707317,0.22357723577235772,0.3048780487804878,0.26422764227642276
normal,adaptive,2,265,200,0.7547169811320755,20,13.25,186,0,0.2339622641509434,0.2641509433962264,0.2528301886792453,0.2490566037735849
normal,adaptive,3,250,200,0.8,20,12.5,182,0,0.14,0.308,0.3,0.252
normal,adaptive,4,248,200,0.8064516129032258,20,12.4,186,0,0.22580645161290322,0.24596774193548387,0.2701612903225806,0.25806451612903225
normal,adaptive,5,260,199,0.7653846153846153,19,13.68421052631579,173,0,0.2423076923076923,0.2,0.2653846153846154,0.2923076923076923
normal,adaptive,6,258,200,0.7751937984496124,20,12.9,205,0,0.16666666666666666,0.2751937984496124,0.27906976744186046,0.27906976744186046
normal,adaptive,7,260,199,0.7653846153846153,19,13.68421052631579,185,0,0.21923076923076923,0.26153846153846155,0.25769230769230766,0.26153846153846155
normal,adaptive,8,257,199,0.77431906614786,19,13.526315789473685,184,0,0.2529182879377432,0.23735408560311283,0.311284046692607,0.19844357976653695
normal,adaptive,9,241,200,0.8298755186721992,20,12.05,175,0,0.24481327800829875,0.23236514522821577,0.2697095435684647,0.25311203319502074
normal,adaptive,10,252,196,0.7777777777777778,16,15.75,180,0,0.19047619047619047,0.30952380952380953,0.26587301587301587,0.23412698412698413
normal,adaptive,11,260,200,0.7692307692307693,20,13.0,199,0,0.2076923076923077,0.2846153846153846,0.28076923076923077,0.22692307692307692
normal,adaptive,12,260,200,0.7692307692307693,20,13.0,183,0,0.21153846153846154,0.3076923076923077,0.24615384615384617,0.23461538461538461
normal,adaptive,13,269,200,0.7434944237918215,20,13.45,182,0,0.20074349442379183,0.2788104089219331,0.24535315985130113,0.275092936802974
normal,adaptive,14,253,200,0.7905138339920948,20,12.65,174,0,0.23715415019762845,0.30039525691699603,0.21739130434782608,0.2450592885375494
normal,adaptive,15,269,199,0.7397769516728625,19,14.157894736842104,195,0,0.21933085501858737,0.2527881040892193,0.2342007434944238,0.2936802973977695
